run_key,scene_id,intersection_id,algorithm,flow_multiplier,seed,matrix_kind,disturbance_kind,disturbance_begin_seconds,disturbance_end_seconds,disturbance_target,disturbance_intensity,duration_seconds,warmup_seconds,steps,steps_origin,algorithm_params,run_id,status,reason,run_dir,avg_delay,avg_delay_seconds,avg_queue_length,avg_queue_length_vehicles,avg_travel_time,avg_travel_time_seconds,co2_g,co2_g_per_completed,collision_count,completed_vehicle_count,fuel_consumption,fuel_ml,fuel_ml_per_completed,harsh_braking_count,illegal_transition_count,max_queue_length,max_queue_length_vehicles,potential_conflict_count,red_light_count,teleport_count,throughput,total_stops,unfinished_vehicle_count
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""2"",""seed"":43,""warmup_seconds"":600.0}",2,2,capacity_aware_maxpressure,1.0,43,normal,,,,,,3600.0,600.0,,none,{},d4e0a52775d7,completed,,F:\challenge-cup\output\runs\formal\runs\i2\capacity_aware_maxpressure\x1\s43\d4e0a52775d7,9.395294825511431,9.395294825511431,0.3,0.3,21.61973525872443,21.61973525872443,52920.02482,63.68234033694344,0,831,23121.06,23121.06,27.82317689530686,437,0,1.0,1.0,88,0,0,831,440,6
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""2"",""seed"":44,""warmup_seconds"":600.0}",2,2,capacity_aware_maxpressure,1.0,44,normal,,,,,,3600.0,600.0,,none,{},39ebef8821c0,completed,,F:\challenge-cup\output\runs\formal\runs\i2\capacity_aware_maxpressure\x1\s44\39ebef8821c0,9.47921875,9.47921875,0.3,0.3,21.74639423076923,21.74639423076923,53047.062920000004,63.75848908653847,0,832,23176.69,23176.69,27.856598557692305,420,0,2.0,2.0,82,0,0,832,446,5
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""2"",""seed"":42,""warmup_seconds"":600.0}",2,2,capacity_aware_maxpressure,1.25,42,normal,,,,,,3600.0,600.0,,none,{},ca9048ba4ab5,completed,,F:\challenge-cup\output\runs\formal\runs\i2\capacity_aware_maxpressure\x1.25\s42\ca9048ba4ab5,24.56808737864078,24.56808737864078,1.1,1.1,36.832038834951454,36.832038834951454,90687.08257,88.04571123300971,0,1030,39621.83,39621.83,38.46779611650486,403,0,7.0,7.0,60,0,0,1030,1438,14
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""2"",""seed"":43,""warmup_seconds"":600.0}",2,2,capacity_aware_maxpressure,1.25,43,normal,,,,,,3600.0,600.0,,none,{},af7154fc2a20,completed,,F:\challenge-cup\output\runs\formal\runs\i2\capacity_aware_maxpressure\x1.25\s43\af7154fc2a20,27.10948191593353,27.10948191593353,1.55,1.55,39.34017595307918,39.34017595307918,92413.51702,90.33579376344086,0,1023,40376.24,40376.24,39.46846529814272,353,0,7.0,7.0,61,0,0,1023,1549,13
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""2"",""seed"":44,""warmup_seconds"":600.0}",2,2,capacity_aware_maxpressure,1.25,44,normal,,,,,,3600.0,600.0,,none,{},dad8e96b44b6,completed,,F:\challenge-cup\output\runs\formal\runs\i2\capacity_aware_maxpressure\x1.25\s44\dad8e96b44b6,24.80780155642023,24.80780155642023,1.4,1.4,37.06517509727627,37.06517509727627,89846.75149,87.39956370622568,0,1028,39254.9,39254.9,38.18570038910506,385,0,6.0,6.0,48,0,0,1028,1414,14
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""3"",""seed"":42,""warmup_seconds"":600.0}",3,3,fixed_time,1.0,42,normal,,,,,,3600.0,600.0,,none,{},14fc0a477895,completed,,F:\challenge-cup\output\runs\formal\runs\i3\fixed_time\x1\s42\14fc0a477895,27.93621021465581,27.93621021465581,1.2666666666666668,1.2666666666666668,39.75351591413767,39.75351591413767,124075.08897,91.83944409326425,0,1351,54209.56,54209.56,40.12550703182827,522,0,8.0,8.0,123,0,0,1351,1170,14
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""3"",""seed"":43,""warmup_seconds"":600.0}",3,3,fixed_time,1.0,43,normal,,,,,,3600.0,600.0,,none,{},48e95892de74,completed,,F:\challenge-cup\output\runs\formal\runs\i3\fixed_time\x1\s43\48e95892de74,27.376644493717663,27.376644493717663,1.2666666666666666,1.2666666666666666,39.172949002217294,39.172949002217294,123099.74523,90.98281243902439,0,1353,53783.4,53783.4,39.75121951219512,469,0,5.0,5.0,120,0,0,1353,1178,12
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""3"",""seed"":44,""warmup_seconds"":600.0}",3,3,fixed_time,1.0,44,normal,,,,,,3600.0,600.0,,none,{},5226ff6f93f3,completed,,F:\challenge-cup\output\runs\formal\runs\i3\fixed_time\x1\s44\5226ff6f93f3,27.22288148148148,27.22288148148148,1.2,1.2,39.05777777777778,39.05777777777778,122448.91068,90.7028968,0,1350,53499.17,53499.17,39.629014814814816,532,0,5.0,5.0,117,0,0,1350,1154,15
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""3"",""seed"":42,""warmup_seconds"":600.0}",3,3,fixed_time,1.25,42,normal,,,,,,3600.0,600.0,,none,{},477b9538729f,completed,,F:\challenge-cup\output\runs\formal\runs\i3\fixed_time\x1.25\s42\477b9538729f,36.15679463741621,36.15679463741621,2.1333333333333333,2.1333333333333333,47.98049969530774,47.98049969530774,170215.6489,103.7267817794028,0,1641,74369.27,74369.27,45.31948202315662,439,0,10.0,10.0,78,0,0,1641,1605,27
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""3"",""seed"":43,""warmup_seconds"":600.0}",3,3,fixed_time,1.25,43,normal,,,,,,3600.0,600.0,,none,{},ee2260a04c43,completed,,F:\challenge-cup\output\runs\formal\runs\i3\fixed_time\x1.25\s43\ee2260a04c43,36.36496376811594,36.36496376811594,2.0333333333333337,2.0333333333333337,48.14432367149758,48.14432367149758,172548.44666999998,104.1959219021739,0,1656,75388.38,75388.38,45.52438405797102,457,0,10.0,10.0,88,0,0,1656,1614,23
